,0,1
215,18.0,-11081.326449155807
216,19.0,-12478.785393238068
217,19.0,-12493.174978792667
218,19.0,-12483.202286064625
219,19.0,-12500.09744644165
220,19.0,-12477.0502820611
221,19.0,-12461.107413172722
222,19.0,-12507.514794170856
223,19.0,-12490.34638017416
224,19.0,-12475.962789356709
225,19.0,-12489.711727499962
226,19.0,-12478.616266548634
227,19.0,-12491.145794689655
228,20.0,-26419.980690717697
229,20.0,-26420.584544479847
230,20.0,-26426.89673835039
231,20.0,-26432.658978044987
232,20.0,-26424.328769385815
233,20.0,-26415.12623691559
234,20.0,-26435.849189400673
235,20.0,-26444.54117023945
236,20.0,-26433.247997701168
237,20.0,-26448.498283565044
238,20.0,-26420.946744918823
239,20.0,-26383.031204283237
240,21.0,-12466.768619418144
241,21.0,-12483.952521383762
242,21.0,-12499.906128942966
243,21.0,-12493.863931000233
244,21.0,-12494.624281823635
245,21.0,-12487.617101967335
246,21.0,-12502.333807051182
247,21.0,-12490.626139938831
248,21.0,-12506.646948456764
249,21.0,-12483.18293839693
250,21.0,-12500.061866044998
251,21.0,-12502.25409090519
252,22.0,-54153.055491268635
253,22.0,-40305.843734025955
254,22.0,-26450.2058660388
255,22.0,-40335.64046162367
256,22.0,-54181.72660332918
257,22.0,-40298.602805018425
258,22.0,-40299.23738884926
259,22.0,-40293.45326679945
260,22.0,-26419.188667178154
261,22.0,-26437.459176123142
262,22.0,-40295.330903708935
263,22.0,-26426.443492412567
264,23.0,-12510.55166810751
265,23.0,-12460.728623569012
266,23.0,-12500.283397734165
267,23.0,-12489.897799491882
268,23.0,-12470.968847870827
269,23.0,-12472.4566334486
270,23.0,-12505.793331861496
271,23.0,-12522.312036156654
272,23.0,-12488.210356533527
273,23.0,-12498.786379098892
274,23.0,-12499.945772886276
275,23.0,-12495.167680382729
276,24.0,-12073.6048822999
277,24.0,-12070.387625336647
278,24.0,-12065.577895283699
279,24.0,-12049.58098435402
280,24.0,-12079.249162912369
281,24.0,-12073.12766367197
282,24.0,-12082.97925823927
283,24.0,-12076.51556366682
284,24.0,-12056.627218961716
285,24.0,-12083.067534208298
286,24.0,-12093.635357260704
287,24.0,-12077.682551681995
288,25.0,-11513.679383397102
289,25.0,-11522.730838358402
290,25.0,-11513.552051782608
291,25.0,-11501.528993546963
292,25.0,-11511.106233894825
293,25.0,-11530.764689147472
294,25.0,-11501.666055321693
295,25.0,-11499.619836509228
296,25.0,-11526.883978843689
297,25.0,-11506.691693365574
298,25.0,-11497.672665417194
299,25.0,-11523.897540271282
300,26.0,-10516.337877511978
301,26.0,-10518.923172056675
302,26.0,-10504.152285456657
303,26.0,-10542.686238586903
304,26.0,-10555.038589835167
305,26.0,-10522.325100898743
306,26.0,-10533.875549435616
307,26.0,-10523.295207619667
308,26.0,-10545.201851129532
309,26.0,-10549.061030447483
310,26.0,-10535.364818274975
311,26.0,-10520.552651584148
312,27.0,-11918.224115133286
313,27.0,-11928.457482814789
314,27.0,-11904.94817829132
315,27.0,-11924.321531713009
316,27.0,-11903.024919986725
317,27.0,-11946.047084093094
318,27.0,-11944.082721829414
319,27.0,-11935.736056625843
320,27.0,-11893.68279582262
321,27.0,-25802.591675817966
322,27.0,-11919.512808382511
323,27.0,-11925.303896129131
324,28.0,-80934.32433885336
325,28.0,-80907.57105004787
326,28.0,-94793.56004273891
327,28.0,-80887.81364005804
328,28.0,-108676.4798155427
329,28.0,-108672.97659307718
330,28.0,-80929.68634110689
331,28.0,-94819.35278838873
332,28.0,-94807.58611625433
333,28.0,-80940.30747634172
334,28.0,-80918.49110853672
335,28.0,-94806.12239694595
336,29.0,-109693.28561276197
337,29.0,-109744.6446788311
338,29.0,-109685.75826197863
339,29.0,-109709.86610591412
