,0,1
238,20.0,-26346.463618943446
239,20.0,-26347.317561241936
240,21.0,-12399.334508776665
241,21.0,-12383.634875118732
242,21.0,-12388.213762640953
243,21.0,-12407.118136286736
244,21.0,-12406.195008456707
245,21.0,-12385.29475569725
246,21.0,-12412.037913799286
247,21.0,-12387.251486182213
248,21.0,-12394.898052811623
249,21.0,-12417.419363856316
250,21.0,-12387.102356255054
251,21.0,-12397.430744767189
252,22.0,-54101.24396988388
253,22.0,-68010.97791059196
254,22.0,-67983.76910630896
255,22.0,-40227.50493140088
256,22.0,-68013.56083823311
257,22.0,-54109.799247182615
258,22.0,-40254.86825454581
259,22.0,-54115.84363202198
260,22.0,-54114.168381024094
261,22.0,-54113.177168772374
262,22.0,-54118.54310778857
263,22.0,-40224.00727534412
264,23.0,-26278.877165803744
265,23.0,-12415.704180598259
266,23.0,-12404.863579571247
267,23.0,-26294.301767839293
268,23.0,-12401.41378223896
269,23.0,-26292.93368001101
270,23.0,-12422.624779641628
271,23.0,-12399.990341067314
272,23.0,-26290.111413191295
273,23.0,-26285.27053363433
274,23.0,-12411.52362883091
275,23.0,-26280.848689615414
276,24.0,-12013.461081922054
277,24.0,-12028.990427494049
278,24.0,-12016.330406308174
279,24.0,-11995.48269623518
280,24.0,-12003.570164382458
281,24.0,-12005.890293955803
282,24.0,-11980.941009759903
283,24.0,-12001.223284244537
284,24.0,-12026.517883181572
285,24.0,-12018.403918385506
286,24.0,-11996.263459563255
287,24.0,-12008.30160343647
288,25.0,-11422.985392212868
289,25.0,-11429.231104552746
290,25.0,-11429.574996829033
291,25.0,-11411.75836443901
292,25.0,-11454.250807464123
293,25.0,-11442.37346470356
294,25.0,-11444.684232473373
295,25.0,-11439.27172511816
296,25.0,-11438.097869753838
297,25.0,-11437.618837058544
298,25.0,-11432.352745234966
299,25.0,-11432.563301324844
300,26.0,-10437.524994909763
301,26.0,-10441.819484233856
302,26.0,-10442.25127607584
303,26.0,-10462.52694785595
304,26.0,-10438.016644716263
305,26.0,-10435.186392962933
306,26.0,-10443.013303279877
307,26.0,-10447.53838390112
308,26.0,-10466.393456757069
309,26.0,-10429.551660120487
310,26.0,-10437.25237250328
311,26.0,-10440.883241295815
312,27.0,-25731.42157778736
313,27.0,-11816.439042150974
314,27.0,-11814.905778825283
315,27.0,-25706.91436489665
316,27.0,-25723.598784231894
317,27.0,-39616.37302275567
318,27.0,-11819.817228972912
319,27.0,-25686.82920699371
320,27.0,-25703.876806564305
321,27.0,-11818.173431813717
322,27.0,-11820.483287632465
323,27.0,-11832.367356479168
324,28.0,-94758.52118227296
325,28.0,-94762.43813183841
326,28.0,-108618.49032536251
327,28.0,-94760.08962754901
328,28.0,-94747.34389032229
329,28.0,-108643.05763332729
330,28.0,-94752.07076744142
331,28.0,-94753.88237877349
332,28.0,-94761.97960045023
333,28.0,-94734.4683485936
334,28.0,-94762.03963905084
335,28.0,-80854.73998544086
336,29.0,-109669.1715957192
337,29.0,-109682.43756911498
338,29.0,-109671.54982596538
339,29.0,-95791.11334070904
340,29.0,-109675.62684963804
341,29.0,-109675.98562243792
342,29.0,-109648.75031858531
343,29.0,-109678.20158194103
344,29.0,-109723.20285509054
345,29.0,-109668.45037008656
346,29.0,-109698.35075640627
347,29.0,-109655.56023981873
348,30.0,-91205.24793868508
349,30.0,-91138.49904047295
